Etapa,Termino,Notificacion,MacroEtapa
ALEGATOS,APERTURA ALEGATOS,,
AMPAROS,LLEGADA DE AUTOS (CONFIRMA),NOTIFICADA/TERMINADA,
AMPAROS,SE ADMITE DEMANDA DE AMPARO,,
AMPAROS,ORDENA NOTIFICAR POR LISTA,,
AMPAROS,NOTIFICA DEMANDA,,
AMPAROS,ACUSE FEDERAL,,
AMPAROS,ACUSE,,
AUDIENCIA,VIDEO DE RATIFICACION POR VIDEO LLAMADA,,08. Proceso de ejecución
AUDIENCIA,PRUEBAS Y ALEGATOS,,08. Proceso de ejecución
AUDIENCIA,DESAHOGA AUDIENCIA,,08. Proceso de ejecución
AUDIENCIA,RATIFICACIÓN VIDEOLLAMADA,,08. Proceso de ejecución
AUDIENCIA,VIDEO DE  RATIFICACION POR VIDEO LLAMADA,,08. Proceso de ejecución
AUDIENCIA,RATIFICACION POR VIDEOLLAMADA,,08. Proceso de ejecución
AUDIENCIA,,,08. Proceso de ejecución
AUDIENCIA,PLIEGO,,08. Proceso de ejecución
AUDIENCIA,2 PLIEGOS DE POSICIONES,,08. Proceso de ejecución
AUDIENCIA,DESAHOGO DE AUDIENCIA,,08. Proceso de ejecución
AUDIENCIA,AUDIENCIA,,08. Proceso de ejecución
AUDIENCIA,SE ORDENA DICTAR SENTENCIA,,08. Proceso de ejecución
AUDIENCIA,OTRO,,08. Proceso de ejecución
AUDIENCIA,DEDSAHOGA AUDIENCIA,,08. Proceso de ejecución
AUDIENCIA,VIDEO DE RATIFICACION POR VIDEOLLAMADA,,08. Proceso de ejecución
AUDIENCIA,CONSTANCIA DE RATIFICACIÓN POR VIDEOLLAMADA,,08. Proceso de ejecución
AUDIENCIA,PLIEGOS,,08. Proceso de ejecución
AUDIENCIA,DESAHOGA  AUDIENCIA,,08. Proceso de ejecución
AUDIENCIA,AUDIENCIA DE REMATE,,08. Proceso de ejecución
AUDIENCIA,IMPOSIBILIDAD,,08. Proceso de ejecución
AUDIENCIA,PLIEGO DE POSICIONES,,08. Proceso de ejecución
AUDIENCIA,UNA COPIA SIMPLE DE IDENBTIFICACION,,08. Proceso de ejecución
AUDIENCIA,AUDIENCIA DE REMATE TERCERA ALMONEDA,,08. Proceso de ejecución
AUDIENCIA,AUDIENCIA SEGUNDA ALMONEDA,,08. Proceso de ejecución
AUDIENCIA,AUDIENCIA DE REAMTE SOLICITA SEGUNDA ALMONEDA,,08. Proceso de ejecución
AUDIENCIA,ACTA DE RESGUARDO DE FECHA 21 DE MARZO DEL 2017,,08. Proceso de ejecución
AUDIENCIA,CERTIFICACION DE REANUDACION DE AUDIENCIA DE JUICIO,,08. Proceso de ejecución
